price,year,mileage,location,tax,seller_type,model
"Rp21,500,000",2019,"30,000 km",Tanah Kali Kedinding,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,900,000",2019,"30,000 km",Tanah Kali Kedinding,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp17,000,000",2016,"30,000 km",Tanah Kali Kedinding,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp17,000,000",2016,"30,000 km",Tanah Kali Kedinding,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,600,000",2017,"30,000 km",Tanah Kali Kedinding,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,600,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp19,900,000",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp18,800,000",2019,"30,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp18,600,000",2020,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,100,000",2024,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp13,000,000",2016,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,600,000",2021,"15,000 km",Kota Medan,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp23,500,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp19,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp25,200,000",2022,"7,500 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp21,000,000",2023,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp16,600,000",2018,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,900,000",2022,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,600,000",2018,"30,000 km",Pegirian,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp10,500,000",2015,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA NEW VARIO TECHNO
"Rp21,400,000",2023,"2,500 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp18,500,000",2019,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,900,000",2018,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp26,500,000",2024,"2,500 km",Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp15,500,000",2018,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp14,750,000",2015,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,500,000",2022,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,900,000",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp18,500,000",2019,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,600,000",2017,"30,000 km",Pegirian,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,400,000",2017,"30,000 km",Puji Mulyo,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,100,000",2018,"30,000 km",Puji Mulyo,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp23,400,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,600,000",2024,"2,500 km",Gaharu,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp12,800,000",2016,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp16,800,000",2021,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,000,000",2024,"7,500 km",Kota Depok,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,500,000",2024,"7,500 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp24,500,000",2024,500 km,Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,000,000",2023,"7,500 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,500,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,800,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp20,000,000",2021,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,800,000",2024,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp17,500,000",2016,"30,000 km",Kab. Magelang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp17,500,000",2015,"30,000 km",Kab. Magelang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp17,500,000",2016,"30,000 km",Kab. Magelang,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp19,600,000",2018,"15,000 km",Suko Manunggal,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp19,600,000",2018,"15,000 km",Bubutan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,200,000",2020,"15,000 km",Bubutan,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp23,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,400,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp19,600,000",2018,"30,000 km",Bandar Utama,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,100,000",2024,"2,500 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp16,000,000",2016,"30,000 km",Tegal Sari Mandala Iii,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp16,200,000",2018,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,500,000",2020,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,300,000",2021,"15,000 km",Kota Medan,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp19,900,000",2021,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,400,000",2023,"15,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,400,000",2023,"15,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp16,000,000",2016,"30,000 km",Manunggal,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp23,100,000",2024,"2,500 km",Padang Bulan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,400,000",2023,"30,000 km",Kota Tangerang,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp23,500,000",2023,"7,500 km",Kota Tangerang,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp16,500,000",2016,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,500,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,100,000",2022,"15,000 km",Gaharu,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,500,000",2023,"15,000 km",Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp17,200,000",2017,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,400,000",2023,"30,000 km",Kab. Tangerang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,500,000",2022,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,800,000",2023,"15,000 km",Kota Bekasi,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp19,800,000",2019,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,500,000",2019,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,300,000",2021,"15,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,500,000",2022,"15,000 km",Bandar Kidul,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp21,600,000",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp19,500,000",2022,"30,000 km",Kota Cilegon,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp18,000,000",2020,"30,000 km",Kota Cilegon,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,400,000",2023,"15,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,750,000",2022,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,600,000",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,800,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,300,000",2024,500 km,Kota Depok,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp17,100,000",2017,"30,000 km",Jombang,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp17,000,000",2016,"30,000 km",Karah,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,500,000",2019,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,500,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,750,000",2024,"7,500 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp20,500,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,300,000",2021,"15,000 km",Kota Malang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,900,000",2019,"30,000 km",Seduri,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp21,500,000",2019,"30,000 km",Seduri,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,200,000",2021,"30,000 km",Gayungan,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,800,000",2022,"15,000 km",Sukorame,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,600,000",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,600,000",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,500,000",2022,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp17,200,000",2017,"30,000 km",Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,800,000",2023,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,600,000",2021,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp15,000,000",2016,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,700,000",2024,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp17,000,000",2016,"30,000 km",Sukorame,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,200,000",2021,"30,000 km",Gading,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp21,800,000",2022,500 km,Kapas Madya Baru,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,700,000",2022,"30,000 km",Kapas Madya Baru,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp15,100,000",2016,"30,000 km",Kapas Madya Baru,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp18,600,000",2017,"30,000 km",Kapas Madya Baru,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp16,000,000",2016,"30,000 km",Tengkerang Barat,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,700,000",2022,"15,000 km",Kapas Madya Baru,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp19,500,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp23,800,000",2022,"15,000 km",Kendangsari,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp19,200,000",2019,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,100,000",2024,500 km,Kab. Serang,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp15,000,000",2016,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,800,000",2020,"30,000 km",Kab. Serang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp13,950,000",2015,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp14,950,000",2015,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,800,000",2022,"15,000 km",Sugih Waras,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp17,100,000",2019,"30,000 km",Kota Bambu Utara,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,600,000",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp20,900,000",2022,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125ESP CBS ISS
"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,600,000",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp23,500,000",2023,"2,500 km",Kota Jakarta Utara,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,400,000",2023,"7,500 km",Kota Depok,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,000,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp21,000,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp17,500,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp12,100,000",2016,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA NEW VARIO TECHNO CBS
"Rp18,000,000",2018,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,400,000",2023,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,000,000",2019,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp19,400,000",2021,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp19,900,000",2021,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp21,500,000",2024,"15,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,000,000",2020,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp23,800,000",2023,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,300,000",2021,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,600,000",2018,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,600,000",2017,"30,000 km",Karah,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp15,900,000",2016,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,700,000",2024,"15,000 km",Karah,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp14,700,000",2016,"30,000 km",Karah,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,300,000",2021,"30,000 km",Karah,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,800,000",2023,"15,000 km",Karah,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp15,000,000",2016,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,000,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp15,900,000",2016,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp20,750,000",2022,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp22,000,000",2020,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,000,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp17,200,000",2017,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,100,000",2022,"15,000 km",Kota Medan,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,000,000",2024,"7,500 km",Kota Depok,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp20,500,000",2020,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp15,000,000",2016,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,500,000",2021,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,800,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp15,100,000",2016,"30,000 km",Sugih Waras,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp19,600,000",2018,"30,000 km",Sugih Waras,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,750,000",2022,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp16,900,000",2017,"30,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp16,200,000",2018,"30,000 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,100,000",2024,"7,500 km",Kota Jakarta Timur,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,100,000",2022,"7,500 km",Kota Matsum I,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp20,500,000",2021,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp23,500,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,900,000",2023,"7,500 km",Kota Depok,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,300,000",2021,"15,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp20,300,000",2022,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp17,900,000",2019,"15,000 km",Kota Depok,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,600,000",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,700,000",2022,"30,000 km",Gading,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp23,100,000",2023,"7,500 km",Bandar Khalipah,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp19,600,000",2018,"15,000 km",Bubutan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,100,000",2022,"15,000 km",Bandar Khalipah,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp18,600,000",2020,"30,000 km",Kota Bekasi,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp19,100,000",2020,"15,000 km",Kota Bekasi,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp14,600,000",2017,"30,000 km",Kota Bekasi,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp18,500,000",2018,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,700,000",2019,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp24,400,000",2024,"7,500 km",Kota Depok,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp14,000,000",2017,NaN km,Kota Tangerang Selatan,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp17,200,000",2017,"15,000 km",Bojong Nangka,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp14,800,000",2017,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp17,200,000",2017,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,400,000",2023,"2,500 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp18,500,000",2018,"15,000 km",Bubutan,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,300,000",2021,"30,000 km",Bubutan,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,200,000",2021,"30,000 km",Kota Malang,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp19,300,000",2019,"30,000 km",Kota Depok,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp17,600,000",2017,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,600,000",2021,"7,500 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp17,500,000",2018,"15,000 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,100,000",2022,"15,000 km",Padang Bulan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp18,100,000",2018,"30,000 km",Padang Bulan,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp22,600,000",2023,"7,500 km",Padang Bulan,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,100,000",2023,"7,500 km",Padang Bulan,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,450,000",2022,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp21,900,000",2022,"15,000 km",Kota Jakarta Barat,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,800,000",2022,"15,000 km",Kota Denpasar,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp22,500,000",2021,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp24,100,000",2024,"2,500 km",Bojong Nangka,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp17,000,000",2017,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,900,000",2020,"30,000 km",Kota Malang,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,200,000",2021,"30,000 km",Kota Malang,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp16,500,000",2017,"30,000 km",Kota Malang,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp18,300,000",2017,"15,000 km",Kab.sleman,hidup,dealer,HONDA VARIO 125 ESP CBS
"Rp21,100,000",2018,"15,000 km",Kab.sleman,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp22,300,000",2021,"15,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp19,500,000",2022,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp23,500,000",2023,"7,500 km",Kota Jakarta Utara,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp17,000,000",2016,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp17,000,000",2016,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp19,600,000",2018,"30,000 km",Gading,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp21,700,000",2022,"30,000 km",Gading,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp12,900,000",2015,"30,000 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp20,500,000",2021,"30,000 km",Kota Denpasar,hidup,dealer,HONDA VARIO 125 ESPCBS ISS
"Rp22,100,000",2024,"2,500 km",Kota Jakarta Barat,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp18,600,000",2017,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp18,800,000",2018,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp14,500,000",2016,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp19,800,000",2019,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp22,600,000",2021,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP EXCLSV
"Rp22,000,000",2022,"15,000 km",Kab. Bandung,hidup,dealer,HONDA ALN VARIO 160 CBS
"Rp21,900,000",2022,"15,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
"Rp22,000,000",2020,"30,000 km",Kab. Bandung,hidup,dealer,HONDA VARIO 150 ESP SPORTY
"Rp24,200,000",2022,"7,500 km",Kab. Bandung,hidup,dealer,HONDA ALN VARIO 160 ABS
"Rp22,900,000",2024,500 km,Kab. Bandung,hidup,dealer,HONDA VARIO 125 CBS ISS
